Company Name,Exchange:Ticker,Industry Group,Bottom up Beta for sector,Bottom up levered beta,Market Cap (in US $),Total Debt,Cash,Cash/ Firm Value,Book Debt to capital ratio,Market Debt to capital ratio,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,Interest coverage ratio,Current PE,PEG,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,Return on Equity,Return on Capital (ROC or ROIC),Net Profit Margin,Pre-tax Operating Margin,Effective Tax Rate,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income
Wonderful Times Group AB (OM:WTG),OM:WTG,Recreation,0.8585,1.601,"USD 5,40","USD 4,67","USD 0,29",2.9,35.54,46.38,55.14,86.48,"USD 0,09",-0.31,6.32,0,0,0,0,0.29,0,0,1.56,0.53,0,0,0,33.3,37.4,0,0,-46.07,-45.4,-15.51,-12.66,0,"-USD 1,31","-USD 2,87","-USD 2,48","-USD 2,34","USD 18,60","USD 18,50","-USD 0,32","-USD 1,67","-USD 2,34","-USD 1,80","-USD 0,59","-USD 0,18",0,"-USD 1,57","-USD 0,30","-USD 2,10","USD 6,23","USD 5,16","USD 8,47","USD 6,25","USD 0,00",-0.27,0.08,0.5,0,0,0,0
Nordic Leisure AB (publ) (OM:NLAB),OM:NLAB,Hotel/Gaming,0.7409,0.7409,"USD 16,10","USD 0,00","USD 7,26",45.09,0,0,0,0,"USD 0,42",0,0,0,16.07,15.78,0,1.07,6.53,4,2.12,0.59,3.69,0,18.7,9.13,0.21,0,0,310.92,0,54.77,10.42,2.32,"USD 1,02","USD 7,12","USD 1,35","USD 1,35","USD 15,00","USD 13,00","USD 2,21","USD 2,01","USD 1,32","USD 0,00","USD 1,90","USD 1,08",225.54,"-USD 1,66","USD 4,14","USD 4,14","USD 2,29","-USD 1,63","USD 11,90","USD 4,16","-USD 0,59",-0.05,0.1,0.5,0,0,0,0
Jays AB (publ) (OM:JAYS),OM:JAYS,Electronics (Consumer & Office),1.0419,1.0487,"USD 24,40","USD 0,16","USD 0,07",0.29,2.76,0.65,2.83,0.65,"USD 3,33",1.42,18.44,118.09,23.13,17.3,0,1.92,34.25,15.21,4.3,1.93,0,0,0,92.6,0,0,12.5,17.06,18.37,7.72,6.94,0,"USD 1,41","USD 0,80","USD 0,69","USD 0,72","USD 12,70","USD 10,30","USD 1,61","USD 0,80","USD 0,72","-USD 0,10","USD 0,68","USD 0,22",125.03,"-USD 0,18","USD 0,00","-USD 0,10","USD 4,66","USD 3,89","USD 5,61","USD 5,70","USD 0,00",0.87,0.38,0.5,0,0,0,0
ZetaDisplay AB (OM:ZETA),OM:ZETA,Advertising,0.8911,0.9407,"USD 8,57","USD 0,48","USD 1,05",11.61,11.64,5.27,13.18,5.57,"USD 0,70",0.32,3.16,0,0,0,0,1.07,0,0,2.62,1,0,0,0,0,0,0,20.8,-12.54,-14.78,-5.31,-9.1,0,"-USD 0,39","-USD 0,51","-USD 1,14","-USD 0,87","USD 7,98","USD 9,56","-USD 0,82","-USD 1,01","-USD 0,87","-USD 0,55","-USD 0,03","USD 0,14",0,"-USD 0,97","-USD 0,07","-USD 0,61","USD 4,05","USD 5,89","USD 3,62","USD 3,05","USD 0,00",-0.21,0.9,0.5,0,0,0,0
Betting Promotion Sweden AB (publ) (OM:BETT),OM:BETT,Hotel/Gaming,0.7409,0.7409,"USD 5,23","USD 0,00","USD 5,23",100,0,0,0,0,"USD 0,55",-0.36,7.07,0,0,0,0,0.75,0,0,0,0,0,0,0,-19.8,-12.1,0,0,-21.58,-46.47,-41.6,-32.37,0,"-USD 0,15","-USD 2,18","-USD 1,85","-USD 1,70","USD 6,96","USD 5,24","USD 0,01","-USD 1,74","-USD 1,70","USD 0,00","USD 0,24","-USD 0,39",0,"-USD 1,55","-USD 2,04","-USD 2,04","USD 10,10","USD 3,65","USD 8,45","USD 3,22","USD 0,00",-0.27,0.01,0.5,0,0,0,0
Klick Data AB (publ.) (OM:KLIC B),OM:KLIC B,Educational Services,0.794,0.794,"USD 5,60","USD 0,00","USD 1,28",22.86,0,0,0,0,"USD 2,49",0.93,15.81,88.39,42.67,11.38,0,2.35,4.82,5.37,11.08,1.82,26.96,25.6,0,10.8,15.6,0,0,24.68,165.93,26.48,38.45,39.51,"USD 0,49","USD 0,62","USD 0,90","USD 0,90","USD 2,38","USD 2,33","USD 0,80","USD 0,91","USD 0,54","USD 0,00","USD 0,03","USD 0,53",102.4,"-USD 0,01","USD 0,06","USD 0,06","USD 2,50","USD 0,54","USD 1,67","USD 0,39","-USD 1,51",0.56,0.27,0.5,0,0,0,0
Mavshack AB (publ) (OM:MAV),OM:MAV,Retail (Internet),1.2231,1.2231,"USD 32,90","USD 0,00","USD 0,25",0.75,0,0,0,0,"USD 0,06",1.73,7.75,150,0,0,0,0,0,0,45.73,83.51,0,0,0,172.1,0,0,0,-562.7,0,-240.72,-277.85,0,"-USD 1,12","-USD 1,75","-USD 2,02","-USD 2,02","USD 0,39","USD 0,73","-USD 1,13","-USD 1,78","-USD 2,02","USD 0,00","USD 0,00","-USD 0,55",0,"-USD 1,47","-USD 1,20","-USD 1,20","USD 0,31","-USD 0,26","USD 1,16","USD 0,71","USD 0,00",0.92,0.74,0.5,0,0,0,0
Electra Gruppen AB (OM:ELEC),OM:ELEC,Retail (Special Lines),0.799,0.799,"USD 59,30","USD 0,00","USD 1,43",2.41,0,0,0,0,"USD 11,41",1.31,24.7,64.07,28.01,28.79,0,0.3,12.08,20.23,2.38,0.3,4.78,0.59,-1.6,9.68,5.64,0,12.9,15.62,20.96,1.59,2.01,21.24,"USD 2,06","USD 3,78","USD 4,79","USD 4,79","USD 194,80","USD 238,10","USD 2,86","USD 5,01","USD 3,77","USD 0,00","USD 24,06","USD 0,36",647.35,"-USD 20,65","-USD 20,64","-USD 20,64","USD 24,20","USD 22,85","USD 25,70","USD 24,27","-USD 2,83",0.63,0.7,0.5,0.04,0.05,"USD 4,09","USD 2,95"
Betsson AB (OM:BETS B),OM:BETS B,Hotel/Gaming,0.7409,0.7709,"USD 1 380,00","USD 47,70","USD 65,00",4.52,17.18,4.1,20.75,4.28,"USD 31,77",0.99,35.36,48.79,159.62,16.41,1.47,4.08,13.5,12.64,4.93,4.06,4.62,21.2,22,18.1,22.3,11.2,11.9,43.58,41.74,23.79,26.43,5.25,"USD 84,10","USD 91,60","USD 101,20","USD 101,77","USD 338,40","USD 385,00","USD 108,70","USD 118,80","USD 96,43","USD 15,00","USD 10,30","USD 49,25",61.75,"USD 36,88","USD 17,05","USD 32,05","USD 210,20","USD 243,83","USD 284,50","USD 278,53","-USD 63,80",0.69,0.1,0.5,0.1,0.08,"USD 35,40","USD 35,49"
INVISIO Communications AB (publ.) (OM:IVSO),OM:IVSO,Electronics (Consumer & Office),1.0419,1.2435,"USD 32,20","USD 6,23","USD 0,02",0.05,0,16.21,0,19.35,"USD 0,79",0.5,6.32,92.1,0,0,0,4.87,0,0,7.95,5.81,0,0,0,30.2,12.3,0,61.5,0,-64.03,-19.51,-13.38,0,"-USD 4,53","-USD 2,38","-USD 1,92","-USD 1,63","USD 6,61","USD 12,20","-USD 3,16","-USD 0,95","-USD 1,63","-USD 0,59","USD 0,90","USD 0,67",0,"-USD 3,21","-USD 3,36","-USD 3,95","-USD 0,58","USD 2,55","-USD 1,38","USD 4,83","USD 0,00",0.23,0.29,0.5,0,0,0,0
Oscar Properties AB (OM:OP PREF),OM:OP PREF,Homebuilding,1.0371,1.0371,"USD 28,50","USD 0,00","USD 0,00",0,0,0,0,0,"USD 38,94",0,0,0,0,0,0,0.85,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,"USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 33,60","USD 33,60","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00",0,"USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00","USD 0,00",0,0,0.5,0,0,0,0
HomeMaid AB (publ) (OM:HOME B),OM:HOME B,Business & Consumer Services,0.7667,0.8537,"USD 18,90","USD 3,07","USD 0,94",4.29,31.07,13.97,45.08,16.24,"USD 1,06",0.12,4.47,81.06,22.06,35.93,0,0.69,7.38,13.57,15.61,0.77,5.87,-8.83,0,25.5,24.9,0,0,26.34,0,4.16,7.32,30.17,"USD 0,53","USD 1,62","USD 2,78","USD 2,85","USD 27,20","USD 38,90","USD 1,55","USD 3,37","USD 1,99","-USD 2,11","USD 0,86","USD 5,00",294.62,"-USD 3,87","-USD 2,13","-USD 4,24","USD 6,15","-USD 0,44","USD 6,81","USD 1,35","-USD 1,11",0.15,-0.12,0.5,0,0,0,0
WeSC AB (publ) (OM:WESC),OM:WESC,Apparel,0.8237,1.6474,"USD 17,30","USD 17,30","USD 0,36",1.03,89.08,50,816.04,100,"USD 0,75",0.85,14.14,94.05,0,0,0,0.37,0,0,1.8,0.73,0,0,0,0,0,0,0,-127.09,-42.83,-30.73,-31.63,0,"-USD 7,91","-USD 9,71","-USD 10,90","-USD 10,00","USD 47,20","USD 31,60","-USD 7,38","-USD 9,73","-USD 10,00","-USD 9,13","-USD 3,03","-USD 1,39",0,"-USD 5,58","USD 3,84","-USD 5,29","USD 7,64","USD 23,34","USD 2,12","USD 19,06","USD 0,00",0.53,0.2,0.5,0,0,0,0
Paradox Entertainment AB (OM:PDXE),OM:PDXE,Entertainment,0.8742,0.9947,"USD 9,21","USD 1,27","USD 0,28",2.65,14.58,12.12,17.07,13.79,"USD 0,07",1.9,13.04,0,0,0,0,6.02,0,0,1.21,6.67,0,0,0,-30.7,-19.7,0,0,-25.19,-14.36,-188.89,-134.17,0,"-USD 1,46","-USD 2,04","-USD 1,63","-USD 1,45","USD 1,53","USD 1,08","-USD 0,94","-USD 1,40","-USD 1,45","USD 0,91","USD 0,17","-USD 0,10",0,"-USD 1,52","-USD 3,02","-USD 2,11","USD 8,10","USD 10,09","USD 7,44","USD 8,43","USD 0,00",0,0.93,0.5,0.13,0.13,"-USD 0,05","USD 0,03"
Svenska Cellulosa Aktiebolaget SCA (publ) (OM:SCA B),OM:SCA B,Household Products,0.7646,0.952,"USD 21 659,60","USD 5 221,20","USD 392,00",1.44,37.13,20.31,59.06,25.49,"USD 30,84",1.2,41.59,34.44,8.42,28.46,1.9,1.65,18.45,12.55,2.11,2.04,2.27,4.42,-1.62,-5.72,-3.95,15,5.99,10.44,12.12,6.44,10.36,3.85,"USD 761,10","USD 902,50","USD 1 414,90","USD 1 452,26","USD 13 116,90","USD 14 014,20","USD 2 135,10","USD 2 315,20","USD 1 396,31","USD 83,80","-USD 63,32","USD 962,50",64.4,"USD 497,13","-USD 80,48","USD 3,32","USD 8 642,10","USD 11 981,59","USD 9 346,80","USD 12 667,79","-USD 492,10",0.57,0.66,0.5,0.02,0.05,"USD 1 176,59","USD 647,73"
ICA Gruppen AB (OM:ICA),OM:ICA,Retail (Grocery and Food),0.5264,0.7556,"USD 6 292,70","USD 2 841,70","USD 531,30",5.82,44.13,31.11,79,45.16,"USD 31,31",0.39,4.47,49.19,3.8,126.36,1.23,15.03,28.4,0,2.32,20.55,0,237.9,81.1,159.7,112.9,102.9,512.7,129.96,26.78,19,3.7,3.56,"USD 49,80","USD 1 555,70","USD 258,40","USD 302,90","USD 418,70","USD 8 187,30","-USD 23,50","USD 401,00","USD 292,11","-USD 1 955,70","-USD 190,60","USD 2 577,50",817.12,"-USD 2 094,79","USD 1 124,50","-USD 831,20","USD 1 197,10","USD 1 131,00","USD 3 597,00","USD 3 709,10","USD 0,00",0.09,0.41,0.5,0.1,0.09,"-USD 16,98","USD 74,82"
Axfood AB (OM:AXFO),OM:AXFO,Retail (Grocery and Food),0.5264,0.6403,"USD 2 637,10","USD 86,70","USD 31,90",0.95,56.21,21.08,128.36,26.71,"USD 50,26",0.64,31.3,29.79,138.86,19.18,1.61,0.47,13.58,11.7,3.51,0.59,3.72,4.61,5.81,3.26,3.61,11.9,3.08,30.13,26.12,2.57,4.21,19,"USD 137,50","USD 148,80","USD 194,40","USD 243,75","USD 5 575,80","USD 5 794,90","USD 282,90","USD 293,10","USD 197,43","USD 74,60","USD 34,40","USD 113,81",75.07,"USD 49,22","-USD 74,01","USD 0,59","USD 493,90","USD 933,06","USD 548,80","USD 942,26","-USD 98,10",0.37,0.21,0.5,0.01,0.02,"USD 159,04","USD 114,73"
AarhusKarlshamn AB (OM:AAK),OM:AAK,Food Processing,0.6615,0.7519,"USD 2 638,80","USD 447,10","USD 38,00",1.22,43.34,15.46,76.5,18.28,"USD 64,17",0.94,35.36,40.31,12.98,26.84,1.84,1.02,18.73,15.65,3.4,1.19,1.14,12.9,25.1,3.91,0.37,14.6,3.05,19.72,17.89,4.32,6.43,25.27,"USD 98,30","USD 110,70","USD 162,20","USD 164,66","USD 2 597,20","USD 2 561,80","USD 197,00","USD 213,00","USD 123,05","USD 85,50","-USD 92,30","USD 56,90",-28.77,"USD 158,45","USD 60,60","USD 146,10","USD 561,50","USD 920,52","USD 630,60","USD 905,52","-USD 30,20",0.57,0.27,0.5,0.08,0.08,"USD 80,55","USD 51,64"
Swedish Match AB (OM:SWMA),OM:SWMA,Tobacco,0.6072,0.7396,"USD 6 411,00","USD 1 641,40","USD 448,30",5.55,0,20.58,0,25.91,"USD 32,19",0.5,23.02,38.98,6.61,14.36,1.99,3.34,14.35,12.63,7.75,3.98,3.54,4.4,3.96,-4.3,-0.12,7.22,2.54,0,59.53,22.43,27.12,15.9,"USD 446,30","USD 439,30","USD 527,90","USD 531,13","USD 1 917,60","USD 1 958,40","USD 603,60","USD 569,50","USD 446,70","USD 9,00","USD 29,30","USD 65,70",21.27,"USD 351,70","USD 335,30","USD 344,30","-USD 396,10","USD 892,24","-USD 228,80","USD 984,24","-USD 227,10",0.36,0.04,0.5,0.02,0.03,"USD 430,99","USD 338,44"
Cloetta AB (publ) (OM:CLA B),OM:CLA B,Food Processing,0.6615,1.0623,"USD 872,10","USD 516,70","USD 21,50",1.54,49.47,37.73,97.89,60.6,"USD 3,02",0.5,3.16,0,4.74,0,0,1.17,13.14,13.18,1.32,1.85,0,0,0,0,0,0,4.82,7.37,10.83,4.8,13.88,0,"-USD 11,20","USD 36,30","USD 99,60","USD 104,92","USD 746,20","USD 756,00","USD 104,60","USD 126,70","USD 104,92","-USD 55,40","-USD 27,06","USD 47,30",19.29,"USD 84,68","USD 71,46","USD 16,06","USD 492,80","USD 968,69","USD 539,90","USD 1 046,89","USD 0,00",-0.12,0,0.5,0,0,0,0
Midsona AB (publ) (OM:MSON B),OM:MSON B,Household Products,0.7646,1.0066,"USD 102,70","USD 32,50","USD 7,94",5.87,23,24.04,29.87,31.65,"USD 4,52",0.4,4.47,62.61,5.99,19.09,0,0.77,10.93,14.8,2.33,0.95,1.72,0,0,-7.37,-9.41,0,9.61,11.38,24.85,7.87,8.18,0,"USD 5,38","USD 11,20","USD 9,34","USD 11,64","USD 133,50","USD 142,30","USD 8,60","USD 11,70","USD 11,64","USD 6,69","-USD 0,63","USD 19,77",164.47,"-USD 7,50","-USD 14,63","-USD 7,94","USD 98,40","USD 46,85","USD 108,80","USD 54,56","-USD 1,77",0.11,0.38,0.5,0.09,0.17,"USD 2,76","-USD 2,84"
Bringwell AB (OM:BWL),OM:BWL,Household Products,0.7646,1.3027,"USD 61,10","USD 43,00","USD 0,35",0.33,36.26,41.31,56.88,70.38,"USD 0,24",-0.05,3.16,0,0,0,0,0.58,0,12.83,2.51,0.98,0,0,0,-3.54,-4.43,0,-4.1,-3.17,-0.53,-2.67,-0.27,0,"-USD 1,66","-USD 2,56","-USD 0,26","-USD 0,26","USD 105,50","USD 95,80","USD 8,09","USD 5,15","-USD 0,26","USD 4,27","-USD 7,58","-USD 5,07",0,"USD 12,39","USD 5,82","USD 10,09","USD 80,70","USD 47,90","USD 75,60","USD 41,36","USD 0,00",-0.05,0.02,0.5,0,0,0,0
New Nordic Healthbrands AB (OM:NNH),OM:NNH,Household Products,0.7646,0.8071,"USD 13,70","USD 1,52","USD 1,19",7.82,43.43,9.99,76.77,11.09,"USD 2,21",0.54,13.42,58.14,2.79,0,0,0.44,16.88,20.42,6.07,0.45,0,0,0,2.95,1.53,0,0,14.48,28.46,0.75,2.48,49.9,"-USD 0,63","USD 0,25","USD 0,83","USD 0,83","USD 31,30","USD 33,50","USD 0,69","USD 1,15","USD 0,42","-USD 0,17","USD 0,66","-USD 0,72",-16.33,"USD 0,48","USD 0,49","USD 0,32","USD 1,74","USD 2,92","USD 1,98","USD 2,31","USD 0,00",0.31,0.18,0.5,0,0,0,0
Skåne-möllan AB (publ) (OM:SKMO),OM:SKMO,Food Processing,0.6615,0.6615,"USD 51,90","USD 0,00","USD 6,04",11.64,0,0,0,0,"USD 47,19",0.12,4.47,59.81,0,17.53,0,1.92,23.05,9.3,2.41,1.7,4.62,-14.3,-3.99,2.83,-0.22,0,0,10.93,14.03,7.62,7.18,13.36,"USD 2,96","USD 2,11","USD 1,99","USD 1,99","USD 27,00","USD 27,70","USD 4,93","USD 3,64","USD 1,72","USD 0,00","USD 3,11","USD 1,12",245.23,"-USD 2,50","-USD 2,12","-USD 2,12","USD 19,30","USD 14,18","USD 25,10","USD 19,06","-USD 2,40",0.11,-0.03,0.5,0.03,0.03,"USD 2,85","USD 2,41"
North Chemical AB (publ) (OM:NOCH),OM:NOCH,Household Products,0.7646,1.1067,"USD 7,79","USD 6,97","USD 0,35",2.4,81.43,47.22,438.36,89.47,"USD 0,78",0,0,0,2.6,36.23,0,0.58,18.71,0,2.69,1.07,2.7,0,0,0,0,0,0,0,0,0.86,3.7,50,"USD 0,22","USD 0,18","USD 0,77","USD 0,77","USD 13,50","USD 20,80","USD 0,00","USD 0,00","USD 0,39","USD 0,00","USD 0,00","-USD 0,75",-195.32,"USD 1,14","USD 0,93","USD 0,93","USD 0,00","USD 0,00","USD 1,59","USD 5,36","-USD 0,21",0,0,0.5,0,0,0,0
Mackmyra Svensk Whisky AB (OM:MACK B),OM:MACK B,Beverage (Alcoholic),0.7142,1.6605,"USD 20,00","USD 26,50","USD 0,39",0.84,51.66,56.99,106.85,132.5,"USD 4,91",0.13,7.07,62.93,0,0,0,1.59,0,61.73,0.91,3.66,0,0,0,0.34,0,0,0,0,0,-11.62,-5.27,0,"-USD 0,82","-USD 1,51","-USD 0,78","-USD 0,69","USD 12,60","USD 13,00","USD 0,75","USD 0,00","-USD 0,69","USD 0,00","USD 0,00","USD 0,00",0,"-USD 0,69","-USD 1,51","-USD 1,51","USD 0,00","USD 0,00","USD 24,80","USD 50,91","USD 0,00",0.18,-0.16,0.5,0.12,0.12,"USD 0,54","USD 0,14"
Ellen AB (publ) (OM:ELN),OM:ELN,Household Products,0.7646,0.7646,"USD 14,90","USD 0,00","USD 0,83",5.56,0,0,0,0,"USD 0,25",1.08,16.43,96.76,0,0,0,4.49,0,0,6.36,4.24,0,0,0,19,24.1,0,-1.37,-21.89,-24.22,-19.34,-20.93,0,"-USD 0,41","-USD 0,65","-USD 0,75","-USD 0,70","USD 3,32","USD 3,35","-USD 0,40","-USD 0,71","-USD 0,70","USD 0,00","-USD 1,08","USD 0,15",0,"USD 0,22","USD 0,28","USD 0,28","USD 2,96","USD 2,89","USD 3,04","USD 2,21","USD 0,00",0.64,0.34,0.5,0.05,0.05,"-USD 1,25","-USD 1,25"
Lundin Petroleum AB (publ) (OM:LUPE),OM:LUPE,Oil/Gas (Production and Exploration),0.7389,0.7922,"USD 6 046,40","USD 871,10","USD 97,40",1.41,41.37,12.59,70.56,14.41,"USD 19,53",1.39,30.98,47.28,12.6,55.88,0,4.58,37.09,6.11,3.4,5.17,0,0,-59.2,19.5,3.79,-0.55,0.63,0.19,13.32,0.2,15.35,50,"USD 108,20","USD 2,36","USD 183,90","USD 183,90","USD 1 319,50","USD 1 198,20","USD 1 116,20","USD 1 006,80","USD 91,95","-USD 585,90","-USD 20,87","USD 900,10",956.2,"-USD 787,28","-USD 290,97","-USD 876,87","USD 1 215,80","USD 1 380,20","USD 1 234,60","USD 2 008,30","USD 0,00",0.59,0.91,0.5,0.1,0.12,"USD 222,70","USD 104,99"
PA Resources AB (OM:PAR),OM:PAR,Oil/Gas (Production and Exploration),0.7389,2.4146,"USD 157,80","USD 351,40","USD 130,00",25.21,51.75,69.4,107.23,226.77,"USD 1,39",1.58,9.49,150,1.65,0,0,0.47,4.08,1.99,0.69,1.15,0,0,0,-11,-11.3,0,-37.5,-123.95,14.1,-75.26,39.5,0,"-USD 301,90","-USD 180,10","USD 72,00","USD 94,51","USD 335,30","USD 239,30","USD 193,90","USD 112,00","USD 94,51","USD 44,90","-USD 12,53","USD 16,60",4.31,"USD 90,44","-USD 229,07","-USD 184,17","USD 145,30","USD 670,30","USD 333,70","USD 561,54","USD 0,00",0.61,1.16,0.5,0.1,0.16,"USD 87,75","-USD 33,39"
Misen Energy AB (publ) (OM:MISE),OM:MISE,Oil/Gas (Production and Exploration),0.7389,0.8055,"USD 255,30","USD 28,70","USD 0,54",0.19,25.31,10.11,33.88,11.24,"USD 1,76",-0.93,6.32,0,56.78,6.27,0,2.83,4.13,5.12,2.51,3.15,0,0,0,0,0,0,0,156.73,203.59,44.01,56.4,19.91,"USD 40,70","USD 53,60","USD 68,70","USD 68,70","USD 90,10","USD 121,80","USD 55,40","USD 71,60","USD 55,02","-USD 10,21","USD 8,76","USD 68,79",140.94,"-USD 22,53","-USD 13,74","-USD 23,95","USD 34,20","USD 33,75","USD 84,70","USD 112,86","USD 0,00",-0.68,-0.03,0.5,0,0,0,0
Tethys Oil AB (publ) (OM:TETY),OM:TETY,Oil/Gas (Production and Exploration),0.7389,0.8595,"USD 373,70","USD 61,00","USD 38,20",8.79,27.23,14.03,37.42,16.32,"USD 10,51",0.95,18.17,50.51,15.24,7.75,0,4.17,7.28,6.36,2.13,4.42,0,58.5,0,0,0,0,13.8,48.71,45.14,59.89,61.51,0.05,"USD 48,20","USD 53,00","USD 54,10","USD 54,44","USD 89,70","USD 88,50","USD 62,30","USD 64,70","USD 54,41","USD 1,90","USD 4,81","USD 56,95",113.52,"-USD 7,35","-USD 10,66","-USD 8,76","USD 108,80","USD 120,60","USD 163,00","USD 185,80","USD 0,00",0.37,0.69,0.5,0.2,0.18,"USD 3,67","USD 5,12"
Concordia Maritime AB (publ) (OM:CCOR B),OM:CCOR B,Oil/Gas Distribution,0.7319,3.1563,"USD 87,00","USD 288,20","USD 20,20",5.38,58.74,76.81,142.39,331.26,"USD 1,82",1.1,22.14,50.71,0.93,0,0,1.04,53.06,10.11,0.75,4.25,4.28,-49.7,-33.1,1.33,-0.45,0,-1.55,0.91,1.44,2.35,8.62,0,"-USD 54,70","USD 1,82","USD 6,69","USD 6,69","USD 83,50","USD 77,60","USD 35,10","USD 28,80","USD 6,69","-USD 2,00","USD 10,70","-USD 15,44",-70.88,"USD 11,43","USD 8,56","USD 6,56","USD 200,40","USD 465,70","USD 202,40","USD 470,40","-USD 3,72",0.45,0.76,0.5,0.17,0.16,"USD 18,63","USD 11,68"
Selena Oil & Gas Holding AB (publ) (OM:SOGH),OM:SOGH,Oil/Gas (Production and Exploration),0.7389,0.8853,"USD 9,74","USD 1,93","USD 0,07",0.57,14.81,16.54,17.39,19.82,"USD 0,19",0,11.4,0,0,0,0,0.93,0,0,0.9,1.11,0,0,0,0,0,0,0,-20.07,-4.83,-13.85,-4.33,0,"-USD 1,53","-USD 2,77","-USD 0,94","-USD 0,87","USD 10,50","USD 20,00","-USD 0,26","-USD 0,32","-USD 0,87","-USD 1,10","-USD 0,10","USD 0,95",0,"-USD 1,72","-USD 2,52","-USD 3,62","USD 13,80","USD 17,89","USD 11,10","USD 12,96","USD 0,00",0,0,0.5,0,0,0,0
Guideline Geo AB (publ) (NGM:GGEO),NGM:GGEO,Oilfield Svcs/Equip.,0.92,1.0054,"USD 15,20","USD 1,41","USD 2,73",16.44,6.38,8.49,6.81,9.28,"USD 2,02",0.42,0,0,12.29,4.97,0,0.89,8.87,10.06,1.44,0.82,0,0,0,21.3,22.3,0,0,17.5,26.6,16.82,8.74,0,"USD 3,06","USD 3,01","USD 1,18","USD 1,56","USD 17,00","USD 17,90","USD 1,38","USD 1,65","USD 1,56","USD 0,35","-USD 1,21","USD 0,58",-40.15,"USD 2,19","USD 3,29","USD 3,64","USD 17,20","USD 5,88","USD 20,70","USD 9,66","USD 0,00",-0.07,0.78,0.5,0,0,0,0
Shelton Petroleum AB (publ) (OM:SHEL),OM:SHEL,Oil/Gas (Production and Exploration),0.7389,1.1087,"USD 45,50","USD 37,00","USD 5,47",6.63,46.13,44.85,85.65,81.32,"USD 3,74",1.29,12.25,112.47,206.84,11.94,0,3.05,18.03,19.9,1.05,5.17,0,0,0,51,0,0,41.8,3.32,12.4,8.52,27.57,38.46,"USD 3,81","USD 1,32","USD 3,93","USD 4,27","USD 14,90","USD 15,50","USD 3,87","USD 4,30","USD 2,63","USD 1,21","USD 3,82","USD 8,64",473.74,"-USD 9,83","-USD 12,35","-USD 11,14","USD 39,70","USD 34,46","USD 43,20","USD 73,67","USD 0,00",0.55,0.84,0.5,0,0,0,0
Commodity Quest AB (publ) (OM:COMQ),OM:COMQ,Oil/Gas (Production and Exploration),0.7389,0.7935,"USD 27,20","USD 2,01","USD 0,44",1.51,11.29,6.88,12.72,7.39,"USD 1,90",2.21,20.49,150,1.84,21.59,0,9.78,3.79,5.24,1.66,10.35,0,0,0,5.84,-13.6,0,0,-30,50.92,-170.71,317.99,0,"USD 1,26","-USD 4,08","USD 5,87","USD 7,60","USD 2,78","USD 2,39","USD 5,49","USD 6,70","USD 7,60","USD 0,96","USD 0,41","USD 9,58",131.43,"-USD 2,39","-USD 15,02","-USD 14,07","USD 13,60","USD 14,93","USD 15,80","USD 17,37","USD 0,00",1.51,0.28,0.5,0.11,0.08,"-USD 2,24","-USD 2,99"
Cassandra Oil AB (publ) (OM:CASO),OM:CASO,Oil/Gas (Production and Exploration),0.7389,0.7389,"USD 215,60","USD 0,00","USD 0,48",0.22,0,0,0,0,"USD 8,18",1.19,0,0,0,0,0,0,0,0,45.03,0,0,0,0,0,0,0,0,-39.2,-105.86,0,0,0,"-USD 1,76","-USD 3,25","-USD 3,25","-USD 3,25","USD 0,00","USD 0,00","-USD 1,76","-USD 3,28","-USD 3,25","USD 0,00","-USD 0,29","USD 2,80",0,"-USD 5,76","-USD 5,76","-USD 5,76","USD 8,29","USD 3,07","USD 5,26","USD 4,78","USD 0,00",-0.41,2.63,0.5,0.09,0.09,"-USD 0,94","-USD 0,95"
